State_Name District_Name Crop_Year Season Crop Area Production
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear Coconut 7110 26660000
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear Drychillies 340 578
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear Dryginger 406 1299
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear otheroilseeds 829 351
AndamanandNicobarIslands SOUTHANDAMANS 2003 WholeYear Sugarcane 268 28792
AndamanandNicobarIslands SOUTHANDAMANS 2004 Kharif Rice 10681 291196
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear Arecanut 31607 3975
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear Banana 1912 17374
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear Blackpepper 570 1046
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear Cashewnut 116 25
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear Coconut 7156 34750000
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear Drychillies 340 822
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear Dryginger 410 1462
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear otheroilseeds 89 46
AndamanandNicobarIslands SOUTHANDAMANS 2004 WholeYear Sugarcane 1456 1560
AndamanandNicobarIslands SOUTHANDAMANS 2005 Kharif Rice 86838 25870
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Arecanut 32508 30586
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Banana 1656 102513
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Blackpepper 6565 35
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Cashewnut 118 302
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Coconut 70505 26430000
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Drychillies 370 877
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Dryginger 200 1800
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear otheroilseeds 535 34
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Sugarcane 1282 2448
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Sweetpotato 131.9 7005
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Tapioca 254 1480
AndamanandNicobarIslands SOUTHANDAMANS 2005 WholeYear Turmeric 81 572
AndamanandNicobarIslands SOUTHANDAMANS 2006 Kharif Rice 9217 25394
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Arecanut 2000 2350
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Banana 483 4150
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Blackpepper 413 20
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Cashewnut 79 26
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Coconut 34839 14190000
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Drychillies 124 34
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Dryginger 100.9 900
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear otheroilseeds 24 14
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Sugarcane 53 999
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Sweetpotato 30 220
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Tapioca 40 160
AndamanandNicobarIslands SOUTHANDAMANS 2006 WholeYear Turmeric 10 60
AndamanandNicobarIslands SOUTHANDAMANS 2010 Autumn Rice 1595 3788
AndamanandNicobarIslands SOUTHANDAMANS 2010 Autumn Sugarcane 67 402
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Arecanut 1912 1900
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi ArharTur 20 13
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Blackpepper 409 98
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Cashewnut 15 10
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Drychillies 128 148
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Dryginger 94 8282
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Groundnut 15 7
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Maize 73 253
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Moong(GreenGram) 29.9 175
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Sunflower 1 0
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Sweetpotato 32 235
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Turmeric 10 105
AndamanandNicobarIslands SOUTHANDAMANS 2010 Rabi Urad 34 155
AndamanandNicobarIslands SOUTHANDAMANS 2010 WholeYear Banana 360 5517
AndamanandNicobarIslands SOUTHANDAMANS 2010 WholeYear Coconut 3540 11000000
AndamanandNicobarIslands SOUTHANDAMANS 2010 WholeYear Tapioca 22 220
AndhraPradesh ANANTAPUR 1997 Kharif ArharTur 21400 2600
AndhraPradesh ANANTAPUR 1997 Kharif Bajra 1400 500
AndhraPradesh ANANTAPUR 1997 Kharif Castorseed 1000 100
AndhraPradesh ANANTAPUR 1997 Kharif Cotton(lint) 7300 9400
AndhraPradesh ANANTAPUR 1997 Kharif Drychillies 3700 7100
AndhraPradesh ANANTAPUR 1997 Kharif Groundnut 650800 228400
AndhraPradesh ANANTAPUR 1997 Kharif Horsegram 3300 1000
AndhraPradesh ANANTAPUR 1997 Kharif Jowar 10100 10200
AndhraPradesh ANANTAPUR 1997 Kharif Korra 2200 700
AndhraPradesh ANANTAPUR 1997 Kharif Maize 2800 4900
AndhraPradesh ANANTAPUR 1997 Kharif Moong(GreenGram) 1300 500
AndhraPradesh ANANTAPUR 1997 Kharif OtherKharifpulses 800 100
AndhraPradesh ANANTAPUR 1997 Kharif Ragi 6700 11800
AndhraPradesh ANANTAPUR 1997 Kharif Rice 35600 75400
AndhraPradesh ANANTAPUR 1997 Kharif Sugarcane 700 72900
AndhraPradesh ANANTAPUR 1997 Kharif Sunflower 35900 11100
AndhraPradesh ANANTAPUR 1997 Kharif Tobacco 200 200
AndhraPradesh ANANTAPUR 1997 Rabi Drychillies 100 100
AndhraPradesh ANANTAPUR 1997 Rabi Gram 28000 14800
AndhraPradesh ANANTAPUR 1997 Rabi Groundnut 20200 21700
AndhraPradesh ANANTAPUR 1997 Rabi Horsegram 600 200
AndhraPradesh ANANTAPUR 1997 Rabi Jowar 18800 9400
AndhraPradesh ANANTAPUR 1997 Rabi Korra 100 100
AndhraPradesh ANANTAPUR 1997 Rabi Maize 600 2400
AndhraPradesh ANANTAPUR 1997 Rabi Ragi 600 1000
AndhraPradesh ANANTAPUR 1997 Rabi Rice 18000 37300
AndhraPradesh ANANTAPUR 1997 Rabi Sunflower 30100 11100
AndhraPradesh ANANTAPUR 1997 Rabi Wheat 300 200
AndhraPradesh ANANTAPUR 1998 Kharif ArharTur 27400 9100
AndhraPradesh ANANTAPUR 1998 Kharif Bajra 2600 1900
AndhraPradesh ANANTAPUR 1998 Kharif Castorseed 3200 1000
AndhraPradesh ANANTAPUR 1998 Kharif Cotton(lint) 14000 12900
AndhraPradesh ANANTAPUR 1998 Kharif Drychillies 4000 10000
AndhraPradesh ANANTAPUR 1998 Kharif Groundnut 755200 867800
AndhraPradesh ANANTAPUR 1998 Kharif Horsegram 2300 900
AndhraPradesh ANANTAPUR 1998 Kharif Jowar 3700 5800
AndhraPradesh ANANTAPUR 1998 Kharif Korra 4600 3400
AndhraPradesh ANANTAPUR 1998 Kharif Maize 3300 6700
AndhraPradesh ANANTAPUR 1998 Kharif Moong(GreenGram) 2100 1300
AndhraPradesh ANANTAPUR 1998 Kharif OtherKharifpulses 2000 300
AndhraPradesh ANANTAPUR 1998 Kharif Ragi 7000 14900
AndhraPradesh ANANTAPUR 1998 Kharif Rice 38300 96800
AndhraPradesh ANANTAPUR 1998 Kharif Sunflower 21300 12200
AndhraPradesh ANANTAPUR 1998 Rabi Drychillies 200 200
AndhraPradesh ANANTAPUR 1998 Rabi Gram 26200 25900
AndhraPradesh ANANTAPUR 1998 Rabi Groundnut 25900 35800
AndhraPradesh ANANTAPUR 1998 Rabi Horsegram 700 500
AndhraPradesh ANANTAPUR 1998 Rabi Jowar 14800 22100
AndhraPradesh ANANTAPUR 1998 Rabi Maize 300 1600
AndhraPradesh ANANTAPUR 1998 Rabi Ragi 700 1200
AndhraPradesh ANANTAPUR 1998 Rabi Rice 26600 63900
AndhraPradesh ANANTAPUR 1998 Rabi Sunflower 13500 3300
AndhraPradesh ANANTAPUR 1998 Rabi Wheat 400 200
AndhraPradesh ANANTAPUR 1998 WholeYear Sugarcane 700 65900
AndhraPradesh ANANTAPUR 1998 WholeYear Tobacco 100 100
AndhraPradesh ANANTAPUR 1999 Kharif Bajra 1635 889
AndhraPradesh ANANTAPUR 1999 Kharif Castorseed 1880 355
AndhraPradesh ANANTAPUR 1999 Kharif Cotton(lint) 9453 10510
AndhraPradesh ANANTAPUR 1999 Kharif Groundnut 694865 249457
AndhraPradesh ANANTAPUR 1999 Kharif Horsegram 1762 495
AndhraPradesh ANANTAPUR 1999 Kharif Jowar 11131 14582
AndhraPradesh ANANTAPUR 1999 Kharif Maize 3358 9540
